品牌,能效等级,支持IPv6,类型,处理器,厚度,机身材质,内存容量,屏幕尺寸,Pairs
lenovo,一级能效,yes,高性能轻薄本,Apple M1,15.1-18.0mm,含碳纤维,48GB,16.0-16.9英寸,36
huawei,二级能效,no,游戏本,intel i5,15.1-18.0mm,金属+复合材质,40GB,17英寸,36
haier,三级能效,no,高性能轻薄本,intel i3,18.1-20.0mm,复合材质,12GB,18.4英寸,36
mi,五级能效,yes,轻薄本,intel i3,20.0mm 以上,金属,128GB,17英寸,36
apple,五级能效,no,高端轻薄本,AMD R9,15.0mm 及以下,含碳纤维,4GB,17.3英寸,36
thinkpad,三级能效,yes,高端游戏本,兆芯,15.0mm 及以下,金属+复合材质,24GB,13.0英寸以下,36
hp,一级能效,no,高端游戏本,intel i7,20.0mm 以上,金属,6GB,15.0-15.9英寸,35
asus,二级能效,yes,高端轻薄本,龙芯,18.1-20.0mm,金属,36GB,13.0-13.9英寸,35
mechrevo,一级能效,yes,游戏本,AMD R5,15.0mm 及以下,复合材质,64GB,14.0-14.9英寸,34
acer,三级能效,no,轻薄本,intel 至强,15.1-18.0mm,含碳纤维,36GB,14.0-14.9英寸,32
dell,五级能效,no,高端游戏本,飞腾,15.1-18.0mm,复合材质,8GB,13.0-13.9英寸,32
honor,一级能效,yes,轻薄本,AMD R3,18.1-20.0mm,金属+复合材质,8GB,17.3英寸,32
lenovo,二级能效,no,高端轻薄本,AMD R3,20.0mm 以上,复合材质,20GB,13.0英寸以下,31
huawei,五级能效,yes,游戏本,Apple M1 Pro,18.1-20.0mm,含碳纤维,32GB,15.0-15.9英寸,30
honor,三级能效,no,游戏本,AMD R7,20.0mm 以上,金属,16GB,16.0-16.9英寸,31
dell,二级能效,yes,轻薄本,intel i9,15.0mm 及以下,含碳纤维,16GB,18.4英寸,30
asus,五级能效,no,高性能轻薄本,AMD 速龙,20.0mm 以上,金属+复合材质,24GB,14.0-14.9英寸,29
mechrevo,三级能效,no,高端轻薄本,高通,15.1-18.0mm,金属+复合材质,128GB,15.0-15.9英寸,28
thinkpad,二级能效,no,高性能轻薄本,Apple M1 Pro,15.1-18.0mm,金属,64GB,17.3英寸,28
haier,一级能效,yes,高端游戏本,intel 奔腾,20.0mm 以上,含碳纤维,40GB,13.0-13.9英寸,26
apple,二级能效,yes,高端游戏本,intel 赛扬,18.1-20.0mm,金属+复合材质,12GB,16.0-16.9英寸,26
hp,三级能效,yes,高性能轻薄本,Apple M2,15.0mm 及以下,金属+复合材质,20GB,13.0-13.9英寸,26
mi,一级能效,no,高端轻薄本,Apple M1 Max,15.1-18.0mm,金属+复合材质,32GB,18.4英寸,26
acer,五级能效,yes,高端轻薄本,麒麟,15.0mm 及以下,复合材质,6GB,16.0-16.9英寸,25
hp,五级能效,no,轻薄本,intel 奔腾,18.1-20.0mm,复合材质,48GB,13.0英寸以下,24
dell,一级能效,yes,高性能轻薄本,AMD R7,18.1-20.0mm,复合材质,4GB,17英寸,23
huawei,三级能效,no,高端游戏本,Apple M1,20.0mm 以上,金属,4GB,18.4英寸,22
haier,二级能效,yes,高端轻薄本,飞腾,15.0mm 及以下,金属,48GB,14.0-14.9英寸,23
asus,一级能效,no,游戏本,Apple M2,15.1-18.0mm,含碳纤维,12GB,13.0英寸以下,23
honor,五级能效,yes,高性能轻薄本,Apple M1 Max,15.0mm 及以下,复合材质,36GB,15.0-15.9英寸,22
dell,三级能效,no,游戏本,麒麟,20.0mm 以上,金属+复合材质,48GB,17.3英寸,22
mechrevo,二级能效,yes,高性能轻薄本,AMD R9,20.0mm 以上,金属,32GB,13.0英寸以下,21
lenovo,三级能效,no,高端游戏本,龙芯,15.0mm 及以下,复合材质,32GB,17英寸,21
honor,一级能效,no,高端轻薄本,intel 赛扬,15.1-18.0mm,含碳纤维,24GB,17英寸,20
thinkpad,五级能效,yes,高端游戏本,高通,18.1-20.0mm,含碳纤维,20GB,14.0-14.9英寸,20
acer,二级能效,no,游戏本,兆芯,20.0mm 以上,金属,8GB,15.0-15.9英寸,20
mi,二级能效,yes,游戏本,intel 至强,18.1-20.0mm,复合材质,24GB,13.0-13.9英寸,20
apple,三级能效,yes,游戏本,AMD 速龙,15.1-18.0mm,金属,6GB,18.4英寸,19
asus,三级能效,yes,轻薄本,intel i7,15.0mm 及以下,复合材质,40GB,16.0-16.9英寸,20
lenovo,五级能效,no,轻薄本,AMD R5,18.1-20.0mm,金属+复合材质,16GB,13.0-13.9英寸,19
acer,一级能效,no,高性能轻薄本,intel i9,18.1-20.0mm,复合材质,128GB,17.3英寸,19
mechrevo,五级能效,yes,轻薄本,intel i5,18.1-20.0mm,含碳纤维,64GB,18.4英寸,19
thinkpad,一级能效,yes,轻薄本,AMD R9,15.1-18.0mm,复合材质,16GB,15.0-15.9英寸,17
huawei,一级能效,yes,高端轻薄本,AMD 速龙,15.0mm 及以下,复合材质,8GB,16.0-16.9英寸,16
haier,五级能效,yes,游戏本,intel i7,15.1-18.0mm,金属+复合材质,4GB,13.0英寸以下,17
thinkpad,五级能效,yes,高端轻薄本,intel i9,20.0mm 以上,金属,12GB,17英寸,16
apple,一级能效,no,高性能轻薄本,高通,20.0mm 以上,复合材质,36GB,13.0英寸以下,16
mi,三级能效,yes,高性能轻薄本,intel 赛扬,15.0mm 及以下,含碳纤维,8GB,13.0英寸以下,16
hp,二级能效,no,游戏本,龙芯,15.1-18.0mm,含碳纤维,128GB,16.0-16.9英寸,16
haier,二级能效,yes,轻薄本,Apple M1,18.1-20.0mm,金属+复合材质,6GB,17英寸,15
acer,三级能效,no,高端游戏本,飞腾,20.0mm 以上,金属+复合材质,64GB,13.0英寸以下,15
dell,五级能效,no,高端轻薄本,Apple M2,18.1-20.0mm,金属,40GB,15.0-15.9英寸,16
apple,一级能效,yes,轻薄本,麒麟,15.1-18.0mm,金属,20GB,17英寸,15
lenovo,五级能效,yes,高端游戏本,intel 至强,15.0mm 及以下,金属,128GB,18.4英寸,13
mechrevo,二级能效,yes,高端游戏本,AMD R7,15.1-18.0mm,金属+复合材质,36GB,17.3英寸,14
honor,二级能效,no,高端游戏本,intel i3,15.0mm 及以下,金属+复合材质,4GB,14.0-14.9英寸,13
huawei,五级能效,no,高性能轻薄本,AMD R3,15.1-18.0mm,含碳纤维,6GB,14.0-14.9英寸,13
mi,二级能效,yes,高端游戏本,AMD R5,15.1-18.0mm,含碳纤维,48GB,15.0-15.9英寸,12
huawei,二级能效,no,轻薄本,Apple M1 Max,20.0mm 以上,金属,24GB,17.3英寸,13
thinkpad,三级能效,no,游戏本,intel 奔腾,15.1-18.0mm,金属+复合材质,36GB,16.0-16.9英寸,12
asus,一级能效,yes,高端游戏本,Apple M1 Pro,20.0mm 以上,金属+复合材质,16GB,17英寸,12
hp,一级能效,yes,高端轻薄本,intel i5,20.0mm 以上,金属,16GB,17.3英寸,12
mechrevo,一级能效,no,轻薄本,兆芯,18.1-20.0mm,含碳纤维,4GB,16.0-16.9英寸,11
lenovo,二级能效,no,轻薄本,高通,15.0mm 及以下,金属,12GB,17.3英寸,12
hp,五级能效,no,高端轻薄本,兆芯,15.1-18.0mm,复合材质,64GB,17英寸,11
dell,五级能效,no,轻薄本,intel 赛扬,20.0mm 以上,金属,32GB,14.0-14.9英寸,11
mi,三级能效,no,游戏本,intel i9,15.1-18.0mm,金属+复合材质,20GB,16.0-16.9英寸,11
thinkpad,五级能效,yes,高性能轻薄本,龙芯,20.0mm 以上,金属+复合材质,40GB,18.4英寸,11
lenovo,一级能效,yes,游戏本,飞腾,18.1-20.0mm,含碳纤维,24GB,15.0-15.9英寸,11
mi,二级能效,yes,高性能轻薄本,麒麟,18.1-20.0mm,含碳纤维,16GB,14.0-14.9英寸,11
asus,五级能效,yes,游戏本,Apple M1,15.0mm 及以下,复合材质,20GB,15.0-15.9英寸,10
lenovo,二级能效,no,高端轻薄本,intel i7,18.1-20.0mm,含碳纤维,8GB,14.0-14.9英寸,10
honor,三级能效,yes,高端轻薄本,AMD R5,20.0mm 以上,金属,40GB,13.0英寸以下,10
apple,三级能效,no,高端游戏本,intel i5,15.0mm 及以下,复合材质,32GB,13.0-13.9英寸,10
asus,三级能效,yes,游戏本,AMD R3,15.0mm 及以下,金属,48GB,18.4英寸,10
asus,一级能效,yes,高性能轻薄本,intel 至强,20.0mm 以上,金属+复合材质,6GB,17.3英寸,10
dell,二级能效,no,高端游戏本,AMD 速龙,18.1-20.0mm,含碳纤维,128GB,13.0英寸以下,10
acer,一级能效,yes,高端轻薄本,intel i3,15.1-18.0mm,含碳纤维,48GB,13.0-13.9英寸,10
haier,二级能效,yes,轻薄本,Apple M2,20.0mm 以上,复合材质,24GB,16.0-16.9英寸,10
mechrevo,三级能效,no,游戏本,Apple M1 Max,18.1-20.0mm,含碳纤维,8GB,17英寸,10
apple,二级能效,no,高端轻薄本,intel 奔腾,15.0mm 及以下,金属,64GB,15.0-15.9英寸,10
huawei,五级能效,yes,高端轻薄本,AMD R7,15.0mm 及以下,含碳纤维,64GB,13.0-13.9英寸,10
hp,三级能效,no,高端游戏本,AMD R9,18.1-20.0mm,金属+复合材质,12GB,14.0-14.9英寸,10
apple,三级能效,yes,轻薄本,Apple M1 Pro,15.0mm 及以下,复合材质,40GB,14.0-14.9英寸,10
haier,三级能效,no,游戏本,intel 赛扬,18.1-20.0mm,复合材质,20GB,17.3英寸,8
honor,三级能效,yes,游戏本,AMD R9,15.1-18.0mm,含碳纤维,6GB,13.0-13.9英寸,7
acer,二级能效,no,轻薄本,AMD R7,20.0mm 以上,金属+复合材质,20GB,18.4英寸,7
huawei,一级能效,yes,轻薄本,龙芯,15.0mm 及以下,含碳纤维,16GB,13.0英寸以下,8
thinkpad,五级能效,yes,高端游戏本,麒麟,15.0mm 及以下,复合材质,128GB,13.0-13.9英寸,7
mechrevo,二级能效,no,高性能轻薄本,intel i7,18.1-20.0mm,金属+复合材质,12GB,13.0-13.9英寸,7
hp,二级能效,no,高端轻薄本,Apple M1 Pro,18.1-20.0mm,含碳纤维,36GB,18.4英寸,7
